Date,Symbol,Open,High,Low,Close,Volume
2024-07-22,GOOGL,179.2081844529357,181.30204007198228,178.85093844213043,180.27992248535156,24100300
2024-07-23,GOOGL,180.6569917790045,182.20505253920132,180.150884509072,180.3989715576172,36352700
2024-07-24,GOOGL,172.27164569377652,174.8418237800792,170.50526718996738,171.30906677246094,49585200
2024-07-25,GOOGL,171.1999255778285,172.09303295252627,165.91070754972583,166.00001525878906,44852000
2024-07-26,GOOGL,165.8710141586151,166.80382399385917,162.8046615111257,165.72216796875,41336900
2024-07-29,GOOGL,167.5381777702437,169.12592608314606,166.70460877031735,168.23281860351562,20293800
2024-07-30,GOOGL,168.93740946049667,169.91982475766497,167.1511791810506,168.9870147705078,18959700
2024-07-31,GOOGL,171.91443658888358,172.91670298864665,168.7091404604878,170.22743225097656,25729100
2024-08-01,GOOGL,168.94729223504007,172.71821867309802,167.58777995648467,169.45338439941406,24531400
2024-08-02,GOOGL,165.1664630337912,167.22061625981866,163.41000220136607,165.38478088378906,29130100
2024-08-05,GOOGL,154.3101724717456,163.17183620146415,153.7445266292353,158.03147888183594,53630700
2024-08-06,GOOGL,158.11087775486118,159.3413952637539,155.2132221455675,157.07882690429688,49004600
2024-08-07,GOOGL,160.01616866155442,161.7329270375027,157.2574415077753,157.72384643554688,25138600
2024-08-08,GOOGL,159.28183313078614,162.43750885518617,158.98414073021175,160.7902069091797,25578800
2024-08-09,GOOGL,158.7856348991968,162.5367099988413,157.84290710869936,162.41763305664062,28602300
2024-08-12,GOOGL,163.09246822974885,163.63824774493187,160.60166401463542,161.0482177734375,15895300
2024-08-13,GOOGL,162.15965411245918,163.46954611395418,161.72301839794923,162.90391540527344,18551700
2024-08-14,GOOGL,161.1573644799167,161.97109738750262,156.50326348113867,159.1428985595703,40591100
2024-08-15,GOOGL,159.27186862078807,160.40314483895546,158.3886794253945,160.0657501220703,31524300
2024-08-16,GOOGL,160.2344996596875,163.7970268327427,159.89710483293223,161.71310424804688,24208600
2024-08-19,GOOGL,164.01533548402497,165.4145503036196,163.0031359185699,165.3946990966797,22416200
2024-08-20,GOOGL,165.62294626435101,167.34963797695062,165.54357171525163,165.9008026123047,18341500
2024-08-21,GOOGL,163.88632244130392,165.5733267344455,163.40999947744584,164.5809783935547,22902000
2024-08-22,GOOGL,165.9801625781286,166.30763931714822,162.06039002531082,162.54664611816406,22493300
2024-08-23,GOOGL,163.45964509800748,164.90846541930796,162.57645554427228,164.35275268554688,13955700
2024-08-26,GOOGL,165.106913416324,166.26795909914733,163.20160651563705,164.8885955810547,14190400
2024-08-27,GOOGL,164.5710342489987,165.16644927065664,163.20160392643822,163.41990661621094,11821900
2024-08-28,GOOGL,163.77714221811894,164.33286993605128,160.29400544572312,161.60391235351562,16407400
2024-08-29,GOOGL,163.05273886524938,164.70004059767595,159.02380738480878,160.54209899902344,19699800
2024-08-30,GOOGL,161.37567316665184,162.4077238619854,160.45279653031872,162.12986755371094,22123800
2024-09-03,GOOGL,160.48256877218185,160.61157889702227,155.28265821334085,156.1559295654297,38945300
2024-09-04,GOOGL,155.4612989897302,157.78339053713182,154.76665816042646,155.25289916992188,19353800
2024-09-05,GOOGL,155.10407049895832,158.22996215508203,154.78651171708566,156.03688049316406,18688700
2024-09-06,GOOGL,156.09640040925774,156.62234382988387,149.39804896411633,149.7652130126953,37912100
2024-09-09,GOOGL,151.54385960268255,152.4282209390493,146.2873778721235,147.7679443359375,39260500
2024-09-10,GOOGL,149.4969156283568,150.31172831197244,147.40028159964342,147.71826171875,31118800
2024-09-11,GOOGL,148.97025775559644,150.54025030429756,146.5854677760219,150.20240783691406,29607700
2024-09-12,GOOGL,152.82570635319718,153.83924907315188,151.682982309114,153.71006774902344,29621500
2024-09-13,GOOGL,154.44537016884462,157.37669455144265,154.22677778049754,156.4625244140625,29591200
2024-09-16,GOOGL,156.31346693580858,157.2475146303272,155.60797314926953,157.0587158203125,18379800
2024-09-17,GOOGL,158.0126274199818,159.53293380012653,157.3766823666018,158.31072998046875,20715600
2024-09-18,GOOGL,158.84730896980255,159.48325404924594,157.59529635899653,158.79762268066406,23677300
