Date,Symbol,Open,High,Low,Close,Volume
2026-07-17,BTC/USD,63776.5,64368.14,62451.8725,63893.2235,1.991405661
2026-07-18,BTC/USD,63917.3175,64836.89,63818.807,64809.186,0.781988902
2026-07-19,BTC/USD,64809.7895,64920.09,64234.13,64680.689,0.767565191
2026-07-20,BTC/USD,64684.265,65762.7,63710.3,65206.45,1.542543803
2026-07-21,BTC/USD,65203.25,65860.5545,65095.84,65755.0755,0.497523306
2026-07-22,BTC/USD,66524.576,66720.472,65516.1,66042.615,2.151969071
2026-07-23,BTC/USD,66086.425,66290.653,64607.3,65095.185,0.476653792
2026-07-24,BTC/USD,65061.8645,65777.83,63642.8,64061.945,3.069979383
2026-07-25,BTC/USD,64100.63,64412.5,63706.8,64296.805,0.754169997
2026-07-26,BTC/USD,64308.65,65514.9945,64200.435,65334.7725,1.111122215
2026-07-27,BTC/USD,65338.955,65695.5885,64343.01,64769.9515,1.091988092
2026-07-28,BTC/USD,63695.4235,64033.825,62664.795,63918.924,1.151956634
2026-07-29,BTC/USD,63832.897,64662.512,63197.42,63699.44,1.90934389
2026-07-30,BTC/USD,63888.2,65079.045,63496.15,64682.395,0.829967202
2026-07-31,BTC/USD,64722.005,65351.6785,62404.2115,62868.184,3.279469514
2026-08-01,BTC/USD,62869.0,63122.5,62217.385,62760.205,1.03753586
2026-08-02,BTC/USD,62777.253,63732.348,62747.2,63511.33,1.353200754
2026-08-03,BTC/USD,63494.939,64037.84,62216.207,63532.19,1.864514918
2026-08-04,BTC/USD,63462.2,64366.42875,63246.715,64159.055,1.729674194
2026-08-05,BTC/USD,64037.086,64980.128,63821.13,64638.3135,1.367769882
2026-08-06,BTC/USD,64616.93,64941.95,64079.064,64257.835,0.594505423
2026-08-07,BTC/USD,64274.03,64382.062,64138.22,64260.9185,0.018153691
2026-08-08,BTC/USD,64891.732,65156.1,64758.238,64895.125,0.533082453
2026-08-09,BTC/USD,64913.225,65387.94,64689.1,64859.6095,1.059575483
2026-08-10,BTC/USD,64838.235,65364.19,63738.51,64051.7165,1.223056464
2026-08-11,BTC/USD,63907.3125,64439.4845,63157.78,63609.61,1.467962957
2026-08-12,BTC/USD,63538.975,64477.35,63243.18,63368.055,0.930203768
2026-08-13,BTC/USD,63407.65,63954.07,62770.85,63411.2305,0.765270975
2026-08-14,BTC/USD,63425.1005,63587.0,62467.464218781,62855.02,1.122429569
2026-08-15,BTC/USD,62984.03,63139.05,62815.0,63023.085,0.447021532
2026-08-16,BTC/USD,63031.875,63320.032,62626.2,62852.7345,0.346038981
2026-08-17,BTC/USD,62832.5,64572.9005,62678.4815,64341.73,1.501971067
2026-08-18,BTC/USD,64485.8035,65028.875,63973.88,64576.8015,2.888892463
2026-08-19,BTC/USD,64684.135,69891.37,64082.455,69345.727,4.3040279
2026-08-20,BTC/USD,69323.65,73041.85,68844.6075,72718.95,4.492549049
2026-08-21,BTC/USD,73006.4635,79490.191,73006.4635,77653.6425,9.358486696
2026-08-22,BTC/USD,78345.725,79061.369025481,76526.0,77057.7,2.774891945
2026-08-23,BTC/USD,77061.3,78045.66,75569.175,77733.4255,1.572955474
2026-08-24,BTC/USD,77738.6,79994.9,76669.5,78867.167,3.575123418
2026-08-25,BTC/USD,78979.453,81218.274111675,77847.129,78442.4435,3.752483863
2026-08-26,BTC/USD,78543.293,79251.11,77623.0285,79021.975,1.528273398
2026-08-27,BTC/USD,79015.01,79033.6855,78816.3,78939.0785,0.00447096
2026-08-28,BTC/USD,80281.377,81446.881,79591.9,79614.96,0.486493321
2026-08-29,BTC/USD,77832.0,77956.32,77574.99,77665.343,0.069657451
2026-08-30,BTC/USD,78227.3925,79393.7945,77018.06,77675.675,7.879305689
2026-08-31,BTC/USD,77667.618,79253.3375,77369.36,78567.102,6.743332505
2026-09-01,BTC/USD,78565.35,78766.695,78536.75,78742.6815,0.008443112
