Date,Symbol,Open,High,Low,Close,Volume
2026-07-17,ETH/USD,1862.2,1869.05,1801.708,1841.07,27.711137042
2026-07-18,ETH/USD,1840.135,1865.043,1836.419,1862.05,7.910031055
2026-07-19,ETH/USD,1860.425,1876.735,1851.8,1871.265,20.314396803
2026-07-20,ETH/USD,1870.2795,1916.177,1841.76,1902.6,18.635834819
2026-07-21,ETH/USD,1901.8,1934.07,1899.81,1931.6,5.791812647
2026-07-22,ETH/USD,1929.2535,1955.393,1910.07,1937.175,11.577809189
2026-07-23,ETH/USD,1934.556,1939.655,1868.11,1880.45,27.953480534
2026-07-24,ETH/USD,1877.76,1907.835,1846.1595,1856.02,26.101445896
2026-07-25,ETH/USD,1860.22,1875.583,1850.0,1872.8,13.104642991
2026-07-26,ETH/USD,1871.9,1964.4255,1871.9,1953.5575,19.451887691
2026-07-27,ETH/USD,1952.28,1977.8485,1917.9415,1940.2555,29.325605124
2026-07-28,ETH/USD,1890.6,1926.7235,1855.665,1923.2405,21.60267777
2026-07-29,ETH/USD,1920.625,1930.3584,1873.685,1892.125,14.838656937
2026-07-30,ETH/USD,1907.41,1934.552467467,1891.567,1917.205,12.937798018
2026-07-31,ETH/USD,1918.297,1933.9,1848.071820197,1858.965,28.122498023
2026-08-01,ETH/USD,1860.975,1873.4265,1820.45,1843.12,18.49760843
2026-08-02,ETH/USD,1841.8,1895.8,1841.8,1883.2915,13.470619942
2026-08-03,ETH/USD,1882.13,1883.457,1827.193,1862.9105,22.311960927
2026-08-04,ETH/USD,1857.5795,1880.24,1847.485,1869.071,18.450774376
2026-08-05,ETH/USD,1868.95,1925.71,1854.4735,1907.373,19.860858183
2026-08-06,ETH/USD,1907.6195,1918.776,1891.462,1902.555,14.131408977
2026-08-07,ETH/USD,1901.525,1903.19,1898.615,1901.585,0.328576363
2026-08-08,ETH/USD,1914.59,1924.8895,1910.51,1916.168,21.747343344
2026-08-09,ETH/USD,1917.25,1935.4665000005,1906.22,1908.9255,12.957018594
2026-08-10,ETH/USD,1908.0085,1929.735,1866.69,1875.42,17.318835658
2026-08-11,ETH/USD,1870.8,1896.044,1852.215,1879.702,10.7541005
2026-08-12,ETH/USD,1880.025,1922.7,1871.7,1876.02,18.832863914
2026-08-13,ETH/USD,1878.49,1898.1,1862.234,1886.997,27.409405362
2026-08-14,ETH/USD,1884.94,1889.115,1862.4038,1877.425,18.547819903
2026-08-15,ETH/USD,1879.0,1884.89,1874.53,1881.318,7.29506267
2026-08-16,ETH/USD,1880.749,1889.5,1868.1358,1874.17,4.041547706
2026-08-17,ETH/USD,1874.9,1913.0518,1871.0985,1906.04,42.111873945
2026-08-18,ETH/USD,1912.242985,1920.228,1885.5978,1912.9075,7.591263794
2026-08-19,ETH/USD,1917.2545,2331.985,1905.5,2256.7385,65.602452387
2026-08-20,ETH/USD,2252.8305,2356.9752030455,2222.08,2319.635,92.798304481
2026-08-21,ETH/USD,2326.8505,2458.583122988,2324.965,2448.5425,128.600562776
2026-08-22,ETH/USD,2514.52,2529.279,2389.7955,2422.9675,70.278613012
2026-08-23,ETH/USD,2424.1495,2483.8345,2357.14,2462.798,30.633377887
2026-08-24,ETH/USD,2464.285,2531.8065,2424.457,2479.7235,32.672014486
2026-08-25,ETH/USD,2481.42,2531.105,2415.558,2433.71,36.014616698
2026-08-26,ETH/USD,2441.6345,2515.51,2432.48,2506.742,21.906910357
2026-08-27,ETH/USD,2505.57,2510.164,2500.365,2504.7695,1.084938601
2026-08-28,ETH/USD,2511.87,2534.602,2479.3,2485.0,3.994120793
2026-08-29,ETH/USD,2442.11,2447.22,2435.775,2439.354,0.301734902
2026-08-30,ETH/USD,2458.03,2533.474,2388.128,2416.8225,8.547415075
2026-08-31,ETH/USD,2415.52,2488.98,2401.7245,2467.435,34.231101472
2026-09-01,ETH/USD,2466.375,2472.97,2465.0665,2471.4355,0.252695818
2026-09-02,ETH/USD,2419.28,2427.38,2355.79,2379.2995,20.807181981
2026-09-03,ETH/USD,2390.61,2528.86,2370.19,2499.279,29.562486792
